Grain,Date,Manager,BeerProduction,YearMean,YearMedian,BeerProductionGreaterThanYearMean
"grain ",1992/01/01,正明,3456.00,19460.50,23460.50,no
"grain ",1992/02/01,正明,3457.00,19460.50,23460.50,no
"grain ",1992/03/01,正明,23458.00,19460.50,23460.50,yes
"grain ",1992/04/01,正明,23459.00,19460.50,23460.50,yes
"grain ",1992/05/01,正明,23460.00,19460.50,23460.50,yes
"grain ",1992/06/01,正明,23461.00,19460.50,23460.50,yes
"grain ",1992/06/01,まあくん,23462.00,19460.50,23460.50,yes
"grain ",1992/07/01,まあくん,23463.00,19460.50,23460.50,yes
"grain ",1992/08/01,まあくん,23464.00,19460.50,23460.50,yes
"grain ",1992/09/01,まあくん,23465.00,19460.50,23460.50,yes
"grain ",1994/01/05,勝也,33460.00,33463.00,33463.00,no
"grain ",1994/02/05,勝也,33461.00,33463.00,33463.00,no
"grain ",1994/03/05,勝也,33462.00,33463.00,33463.00,no
"grain ",1994/04/05,哲子,33463.00,33463.00,33463.00,no
"grain ",1994/05/05,哲子,33464.00,33463.00,33463.00,yes
"grain ",1994/06/05,哲子,33465.00,33463.00,33463.00,yes
"grain ",1994/07/05,哲子,33466.00,33463.00,33463.00,yes
"grain ",1995/01/06,かっちゃん,43461.00,43464.00,43464.00,no
"grain ",1995/02/06,かっちゃん,43462.00,43464.00,43464.00,no
"grain ",1995/03/06,かっちゃん,43463.00,43464.00,43464.00,no
"grain ",1995/04/06,かっちゃん,43464.00,43464.00,43464.00,no
"grain ",1995/05/06,かっちゃん,43465.00,43464.00,43464.00,yes
"grain ",1995/06/06,かっちゃん,43466.00,43464.00,43464.00,yes
"grain ",1995/07/06,かっちゃん,43467.00,43464.00,43464.00,yes
"grain ",1996/01/07,安成,34627.00,34629.50,34629.50,no
"grain ",1996/02/07,安成,34628.00,34629.50,34629.50,no
"grain ",1996/03/07,安成,34629.00,34629.50,34629.50,no
"grain ",1996/04/07,安成,34630.00,34629.50,34629.50,yes
"grain ",1996/05/07,安成,34631.00,34629.50,34629.50,yes
"grain ",1996/06/07,安成,34632.00,34629.50,34629.50,yes
"grain ",1997/01/08,やあちゃん,34633.00,34635.50,34635.50,no
"grain ",1997/02/08,やあちゃん,34634.00,34635.50,34635.50,no
"grain ",1997/03/08,やあちゃん,34635.00,34635.50,34635.50,no
"grain ",1997/04/08,やあちゃん,34636.00,34635.50,34635.50,yes
"grain ",1997/05/08,やあちゃん,34637.00,34635.50,34635.50,yes
"grain ",1997/06/08,やあちゃん,34638.00,34635.50,34635.50,yes
"grain ",1998/01/09,木村 拓哉,54640.00,54643.00,54643.00,no
"grain ",1998/02/09,木村 拓哉,54641.00,54643.00,54643.00,no
"grain ",1998/03/09,木村 拓哉,54642.00,54643.00,54643.00,no
"grain ",1998/04/09,木村 拓哉,54643.00,54643.00,54643.00,no
"grain ",1998/05/09,木村 拓哉,54644.00,54643.00,54643.00,yes
"grain ",1998/06/09,木村 拓哉,54645.00,54643.00,54643.00,yes
"grain ",1998/07/09,木村 拓哉,54646.00,54643.00,54643.00,yes
"grain ",1999/01/10,てっちゃん,44655.00,44658.00,44658.00,no
"grain ",1999/02/10,てっちゃん,44656.00,44658.00,44658.00,no
"grain ",1999/03/10,てっちゃん,44657.00,44658.00,44658.00,no
"grain ",1999/04/10,てっちゃん,44658.00,44658.00,44658.00,no
"grain ",1999/05/10,てっちゃん,44659.00,44658.00,44658.00,yes
"grain ",1999/06/10,てっちゃん,44660.00,44658.00,44658.00,yes
"grain ",1999/07/10,てっちゃん,44661.00,44658.00,44658.00,yes
"grain ",2000/01/11,ブラッド・ピット,34668.00,34671.00,34671.00,no
"grain ",2000/02/11,ブラッド・ピット,34669.00,34671.00,34671.00,no
"grain ",2000/03/11,ブラッド・ピット,34670.00,34671.00,34671.00,no
"grain ",2000/04/11,ブラッド・ピット,34671.00,34671.00,34671.00,no
"grain ",2000/05/11,ブラッド・ピット,34672.00,34671.00,34671.00,yes
"grain ",2000/06/11,ブラッド・ピット,34673.00,34671.00,34671.00,yes
"grain ",2000/07/11,ブラッド・ピット,34674.00,34671.00,34671.00,yes
"grain ",2001/01/12,ブラピ,93467.00,93469.50,93469.50,no
"grain ",2001/02/12,ブラピ,93468.00,93469.50,93469.50,no
"grain ",2001/03/12,ブラピ,93469.00,93469.50,93469.50,no
"grain ",2001/04/12,ブラピ,93470.00,93469.50,93469.50,yes
"grain ",2001/05/12,ブラピ,93471.00,93469.50,93469.50,yes
"grain ",2001/06/12,ブラピ,93472.00,93469.50,93469.50,yes
"grain ",2002/01/03,てっちゃん,103468.00,103471.00,103471.00,no
"grain ",2002/02/03,てっちゃん,103469.00,103471.00,103471.00,no
"grain ",2002/03/03,てっちゃん,103470.00,103471.00,103471.00,no
"grain ",2002/04/03,てっちゃん,103471.00,103471.00,103471.00,no
"grain ",2002/05/03,てっちゃん,103472.00,103471.00,103471.00,yes
"grain ",2002/06/01,てっちゃん,103473.00,103471.00,103471.00,yes
"grain ",2002/07/01,てっちゃん,103474.00,103471.00,103471.00,yes
"grain ",2003/01/04,キムタク,113469.00,113472.00,113472.00,no
"grain ",2003/02/04,キムタク,113470.00,113472.00,113472.00,no
"grain ",2003/03/04,キムタク,113471.00,113472.00,113472.00,no
"grain ",2003/04/04,キムタク,113472.00,113472.00,113472.00,no
"grain ",2003/05/04,キムタク,113473.00,113472.00,113472.00,yes
"grain ",2003/06/04,キムタク,113474.00,113472.00,113472.00,yes
"grain ",2003/07/01,キムタク,113475.00,113472.00,113472.00,yes
